numero_de_cliente,Predicted
87818901,1
79115621,1
146835341,1
97186981,1
85812481,1
95896431,1
118955311,1
156009501,1
124387931,1
59231071,1
157067771,1
144421841,1
77598811,1
106739221,1
91349611,1
75291691,1
66760291,1
71692961,1
100235051,1
57573731,1
136830111,1
78340581,1
52158361,1
170692781,1
140620951,1
127611681,1
77494011,1
81454271,1
105689781,1
134595101,1
68185521,1
116433741,1
125898021,1
83813441,1
74944491,1
153740741,1
144519451,1
103833251,1
118651271,1
59813831,1
126562891,1
156893791,1
129660791,1
126981551,1
33825071,1
74376171,1
136648941,1
32997391,1
59171601,1
94265871,1
79477561,1
120956051,1
126268851,1
133022141,1
41765051,1
50836811,1
59343241,1
99712411,1
154809771,1
102614571,1
106817001,1
162331911,1
106141371,1
91477801,1
68606171,1
145872341,1
34796551,1
39234881,1
102794461,1
84592691,1
94169961,1
144832261,1
36961041,1
140802301,1
79487151,1
60584201,1
140198541,1
127219631,1
123980851,1
68582141,1
128649131,1
122937961,1
127363781,1
91045221,1
137274681,1
134813931,1
152779731,1
95970521,1
78633331,1
50925061,1
157837261,1
66351571,1
112715011,1
74888111,1
51220681,1
110632451,1
142919181,1
146743411,1
132023701,1
115370911,1
159145121,1
172157721,1
180819061,1
157545501,1
106782201,1
117916401,1
114394051,1
105598491,1
126919211,1
39892911,1
182235641,1
37383851,1
154399121,1
81952291,1
85963361,1
103473711,1
161877341,1
152566801,1
154083441,1
113216131,1
179785011,1
68489211,1
122472281,1
75896381,1
103096921,1
111249951,1
124605601,1
66670231,1
113929131,1
157535731,1
145605841,1
108072341,1
169123271,1
162035241,1
66530931,1
94692251,1
70774051,1
117397091,1
80167691,1
78608421,1
38595401,1
133018461,1
80392491,1
142439931,1
80778171,1
171141271,1
119057651,1
163012101,1
102796271,1
123724061,1
34273671,1
68532901,1
78696961,1
58805161,1
103354471,1
83410211,1
69897721,1
60033021,1
36982791,1
113800941,1
158667861,1
101648821,1
124341851,1
109298391,1
153053481,1
156194711,1
52737321,1
52564331,1
158099021,1
36155231,1
56806871,1
153996771,1
102623231,1
106342721,1
135412251,1
170397861,1
184300421,1
171349401,1
162649521,1
66327941,1
151602921,1
114947391,1
110720471,1
157045081,1
31220691,1
128962471,1
60201681,1
124009741,1
30534241,1
128640651,1
134735741,1
110126771,1
33532901,1
140714751,1
56888981,1
98593561,1
73031641,1
33800621,1
55339711,1
136135131,1
76393231,1
81091451,1
75539881,1
67186731,1
120975231,1
119969131,1
49319821,1
55733521,1
96347901,1
119558131,1
124431911,1
29755341,1
170250841,1
169283631,1
171410341,1
67866041,1
88508441,1
31474141,1
158237561,1
109510561,1
65957171,1
142926551,1
107450051,1
126077791,1
60012261,1
113095781,1
64269481,1
41671071,1
156801681,1
110856671,1
48651041,1
67753001,1
170196571,1
156866891,1
38666921,1
97103121,1
104678121,1
187902361,1
59952671,1
153841211,1
90959721,1
137880131,1
140729721,1
123887161,1
103224471,1
72019111,1
146368961,1
63199221,1
29954111,1
85528501,1
187838971,1
103626231,1
77135351,1
140168251,1
93885511,1
32770371,1
86782211,1
184423051,1
119200051,1
153535771,1
171313671,1
120426981,1
68560031,1
75566661,1
102591591,1
94054401,1
70972831,1
145967901,1
135836641,1
159137401,1
57529871,1
83603901,1
104563151,1
128350061,1
68095231,1
126416981,1
118879581,1
112761681,1
114006261,1
130555951,1
130653731,1
156598811,1
145667311,1
143832711,1
131283981,1
118368811,1
33236751,1
59896641,1
91297681,1
39329451,1
168858301,1
170186161,1
70696391,1
36094531,1
144579861,1
70992711,1
94154991,1
112921271,1
100503771,1
170362481,1
146031821,1
128013561,1
127853911,1
111756101,1
170781731,1
94465871,1
94629851,1
96147601,1
104701691,1
85725291,1
136502741,1
111786451,1
86607471,1
132442891,1
110513681,1
98320281,1
162658991,1
132504531,1
187964701,1
32545981,1
95882921,1
56225401,1
129456631,1
67987271,1
144492661,1
171257121,1
60222321,1
32468431,1
85111771,1
61610771,1
66690931,1
144372781,1
132030541,1
141261431,1
